id_student,code_module,code_presentation,gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,site_count,CMA,TMA,Exam,final_result,predicted_risk
11391,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,240,196.0,0.0,82.0,0.0,Pass,1
28400,AAA,2013J,F,HE Qualification,20-30%,35-55,False,0,60,430.0,0.0,66.4,0.0,Pass,0
30268,AAA,2013J,F,A Level or Equivalent,30-40%,35-55,True,0,60,76.0,0.0,0.0,0.0,Withdrawn,1
31604,AAA,2013J,F,A Level or Equivalent,50-60%,35-55,False,0,60,663.0,0.0,76.0,0.0,Pass,0
32885,AAA,2013J,F,Lower Than A Level,50-60%,0-35,False,0,60,352.0,0.0,54.4,0.0,Pass,0
38053,AAA,2013J,M,A Level or Equivalent,80-90%,35-55,False,0,60,723.0,0.0,68.0,0.0,Pass,0
45462,AAA,2013J,M,HE Qualification,30-40%,0-35,False,0,60,355.0,0.0,68.0,0.0,Pass,0
45642,AAA,2013J,F,A Level or Equivalent,90-100%,0-35,False,0,120,531.0,0.0,72.4,0.0,Pass,0
52130,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,90,593.0,0.0,71.4,0.0,Pass,0
53025,AAA,2013J,M,Post Graduate Qualification,Unknown,55<=,False,0,60,904.0,0.0,78.0,0.0,Pass,0
57506,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,403.0,0.0,74.0,0.0,Pass,0
58873,AAA,2013J,F,A Level or Equivalent,20-30%,0-35,False,0,60,526.0,0.0,73.2,0.0,Pass,0
59185,AAA,2013J,M,Lower Than A Level,60-70%,35-55,False,0,60,345.0,0.0,78.6,0.0,Pass,0
62155,AAA,2013J,F,HE Qualification,50-60%,0-35,False,0,60,981.0,0.0,76.0,0.0,Pass,0
63400,AAA,2013J,M,Lower Than A Level,40-50%,35-55,False,0,60,760.0,0.0,71.6,0.0,Pass,0
65002,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,60,54.0,0.0,67.0,0.0,Withdrawn,1
70464,AAA,2013J,F,A Level or Equivalent,60-70%,35-55,False,0,60,205.0,0.0,55.6,0.0,Pass,1
71361,AAA,2013J,M,HE Qualification,Unknown,35-55,False,0,60,728.0,0.0,80.4,0.0,Pass,0
